matrix,build,arm,kernel,cflags,dtype,threads,lmul,runs,time_median_s,time_mean_s,time_std_s,time_min_s,time_max_s,time_iqr_s,time_rel_spread,gops_median,gops_mean,gops_std,gops_min,gops_max,speedup_vs_baseline,speedup_ci_lo,speedup_ci_hi,speedup_significant,speedup_vs_scalar_same_build,speedup_vs_1thread,parallel_efficiency,nnz_c,op_mean,op_max,op_var,cycles_median,instructions_median,ipc,stalls_backend_median,backend_stall_frac,perf_mux_min,cycles_per_nnz_c,march,cc_version,status
cage12,gcv,omp,scalar_omp_f32,-fopenmp,f32,2,,10,0.912134906,0.917168099,0.015856306,0.910239058,0.964578700,0.003248745,0.0596,0.0759,0.0755,0.0012,0.0718,0.0760,0.8982,0.8966,0.9009,yes,0.8982,0.9495,0.4747,15231874,265.7710,989,22031.9179,583669686,208764866,0.3577,429743906,0.7363,1.0000,38.3190,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,omp,scalar_omp_f32,-fopenmp,f32,4,,10,0.914479975,0.918952947,0.014874788,0.911353757,0.963217057,0.004634814,0.0567,0.0756,0.0753,0.0012,0.0719,0.0760,0.8959,0.8937,0.8992,yes,0.8959,0.9470,0.2368,15231874,265.7710,989,22031.9179,235299273,81983100,0.3484,174538780,0.7418,1.0000,15.4478,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cage12,gcv,omp,scalar_omp_f32,-fopenmp,f32,8,,10,0.915411959,0.915278779,0.001463988,0.912306011,0.917544562,0.002292080,0.0057,0.0756,0.0756,0.0001,0.0754,0.0759,0.8950,0.8937,0.8975,yes,0.8950,0.9461,0.1183,15231874,265.7710,989,22031.9179,83809138,31217892,0.3725,60825634,0.7258,1.0000,5.5022,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,27.230089980,27.303269859,0.116460961,27.217305938,27.507174061,0.207629820,0.0106,0.0060,0.0060,0.0000,0.0060,0.0060,0.9277,0.9195,0.9345,yes,0.9277,1.0000,1.0000,68848721,21.7637,6142,3896.8190,43536100006,1154318215,0.0265,42146294246,0.9681,1.0000,632.3444,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,28.567376575,28.639574149,0.128388773,28.538026215,28.840577549,0.283021814,0.0106,0.0058,0.0058,0.0000,0.0057,0.0058,0.8843,0.8773,0.8912,yes,0.8843,1.0000,1.0000,68848721,21.7637,6142,3896.8190,45669838621,1104147328,0.0242,44324124036,0.9705,1.0000,663.3360,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,intrinsic,rvv_f32_m4,-,f32,1,4,10,31.146199403,31.222642672,0.126679156,31.125638045,31.441292614,0.251421960,0.0101,0.0053,0.0053,0.0000,0.0052,0.0053,0.8111,0.8053,0.8171,yes,0.8111,1.0000,1.0000,68848721,21.7637,6142,3896.8190,49800321796,1097378124,0.0220,48440008866,0.9727,1.0000,723.3297,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,autovec,scalar_f32,-,f32,1,,10,25.261679950,25.304205239,0.127710819,25.171384538,25.461124167,0.265028536,0.0115,0.0065,0.0065,0.0000,0.0065,0.0065,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000,68848721,21.7637,6142,3896.8190,40402082080,1890398377,0.0468,38413949304,0.9508,1.0000,586.8240,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,baseline,scalar_f32,-fno-tree-vectorize -fno-tree-slp-vectorize,f32,1,,10,25.248411020,25.312876451,0.103431458,25.241127405,25.481295234,0.221498091,0.0095,0.0065,0.0065,0.0000,0.0064,0.0065,1.0005,0.9918,1.0080,no,1.0005,1.0000,1.0000,68848721,21.7637,6142,3896.8190,40381183580,1890134210,0.0468,38509053711,0.9536,1.0000,586.5205,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,omp,scalar_omp_f32,-fopenmp,f32,1,,10,26.364619895,26.448583862,0.135042484,26.350365212,26.659093851,0.292608959,0.0117,0.0062,0.0062,0.0000,0.0062,0.0062,0.9582,0.9477,0.9653,yes,0.9582,1.0000,1.0000,68848721,21.7637,6142,3896.8190,42153380944,1894940092,0.0450,40237916764,0.9546,1.0000,612.2609,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,omp,scalar_omp_f32,-fopenmp,f32,2,,10,26.195446007,26.271813961,0.122094451,26.186100557,26.485431789,0.217992920,0.0114,0.0063,0.0063,0.0000,0.0062,0.0063,0.9644,0.9561,0.9715,yes,0.9644,1.0065,0.5032,68848721,21.7637,6142,3896.8190,707025934,49159503,0.0695,654934965,0.9263,1.0000,10.2693,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,omp,scalar_omp_f32,-fopenmp,f32,4,,10,26.584625657,26.586500376,0.009401166,26.578990884,26.613648309,0.005723748,0.0013,0.0062,0.0062,0.0000,0.0062,0.0062,0.9502,0.9472,0.9573,yes,0.9502,0.9917,0.2479,68848721,21.7637,6142,3896.8190,33480471,21323852,0.6369,20109671,0.6006,1.0000,0.4863,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cit-Patents,gcv,omp,scalar_omp_f32,-fopenmp,f32,8,,10,27.013374340,27.086298345,0.123663983,26.989784077,27.333650072,0.234692735,0.0127,0.0061,0.0061,0.0000,0.0060,0.0061,0.9352,0.9274,0.9422,yes,0.9352,0.9760,0.1220,68848721,21.7637,6142,3896.8190,41904347,26541260,0.6334,26568910,0.6340,1.0000,0.6086,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cop20k_A,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,1.523550349,1.523239766,0.001188357,1.521046955,1.524873455,0.000935442,0.0025,0.1049,0.1049,0.0001,0.1048,0.1050,0.9845,0.9837,0.9854,yes,0.9845,1.0000,1.0000,18705069,659.1473,2489,184504.0205,2436892914,355969207,0.1461,2172502580,0.8915,1.0000,130.2798,-march=rv64gcv -mabi=lp64d,16.1.0,FAIL
cop20k_A,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,1.506828215,1.506543878,0.001478041,1.504263815,1.509139825,0.002391903,0.0032,0.1060,0.1060,0.0001,0.1059,0.1062,0.9954,0.9945,0.9969,yes,0.9954,1.0000,1.0000,18705069,659.1473,2489,184504.0205,2410325480,295552978,0.1226,2184243334,0.9062,1.0000,128.8595,-march=rv64gcv -mabi=lp64d,16.1.0,FAIL
cop20k_A,gcv,intrinsic,rvv_f32_m4,-,f32,1,4,10,1.502872959,1.502488034,0.001891167,1.500048377,1.505603067,0.003687050,0.0037,0.1063,0.1063,0.0001,0.1061,0.1065,0.9980,0.9968,1.0000,yes,0.9980,1.0000,1.0000,18705069,659.1473,2489,184504.0205,2404074007,255367828,0.1062,2210599727,0.9195,1.0000,128.5253,-march=rv64gcv -mabi=lp64d,16.1.0,FAIL
cop20k_A,gcv,autovec,scalar_f32,-,f32,1,,10,1.499935350,1.499834249,0.001076744,1.497857044,1.501324656,0.002085854,0.0023,0.1065,0.1065,0.0001,0.1064,0.1067,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000,18705069,659.1473,2489,184504.0205,2399174886,1098402803,0.4578,1614262958,0.6728,1.0000,128.2634,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cop20k_A,gcv,baseline,scalar_f32,-fno-tree-vectorize -fno-tree-slp-vectorize,f32,1,,10,1.501323124,1.501191848,0.002569337,1.496032760,1.505503062,0.001553192,0.0063,0.1064,0.1064,0.0002,0.1061,0.1068,0.9991,0.9979,1.0000,yes,0.9991,1.0000,1.0000,18705069,659.1473,2489,184504.0205,2401081803,1098428114,0.4575,1614379018,0.6724,1.0000,128.3653,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cop20k_A,gcv,omp,scalar_omp_f32,-fopenmp,f32,1,,10,1.554022981,1.555213221,0.004509160,1.550756969,1.567888982,0.002228716,0.0110,0.1028,0.1027,0.0003,0.1019,0.1030,0.9652,0.9639,0.9661,yes,0.9652,1.0000,1.0000,18705069,659.1473,2489,184504.0205,2485808524,1098439521,0.4419,1698479024,0.6833,1.0000,132.8949,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cop20k_A,gcv,omp,scalar_omp_f32,-fopenmp,f32,2,,10,1.594742389,1.599672290,0.015508170,1.592518782,1.646073923,0.001688629,0.0336,0.1002,0.0999,0.0009,0.0971,0.1003,0.9406,0.9396,0.9414,yes,0.9406,0.9745,0.4872,18705069,659.1473,2489,184504.0205,1342776570,551044216,0.4104,929397310,0.6921,1.0000,71.7868,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cop20k_A,gcv,omp,scalar_omp_f32,-fopenmp,f32,4,,10,1.582302706,1.592737174,0.031279896,1.579195975,1.686348189,0.001535435,0.0677,0.1010,0.1003,0.0019,0.0947,0.1012,0.9479,0.9464,0.9487,yes,0.9479,0.9821,0.2455,18705069,659.1473,2489,184504.0205,1054686896,380008316,0.3603,769534588,0.7296,1.0000,56.3851,-march=rv64gcv -mabi=lp64d,16.1.0,ok
cop20k_A,gcv,omp,scalar_omp_f32,-fopenmp,f32,8,,10,1.583807263,1.596492372,0.038677455,1.581459581,1.712488022,0.001337190,0.0827,0.1009,0.1001,0.0023,0.0933,0.1010,0.9470,0.9462,0.9476,yes,0.9470,0.9812,0.1226,18705069,659.1473,2489,184504.0205,687335440,263317534,0.3831,491777812,0.7155,1.0000,36.7459,-march=rv64gcv -mabi=lp64d,16.1.0,ok
email-Enron,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,1.031697749,1.041223416,0.029961986,1.028657699,1.130976864,0.003774487,0.0992,0.0998,0.0990,0.0026,0.0911,0.1001,0.9640,0.9607,0.9663,yes,0.9640,1.0000,1.0000,30492154,1403.6152,92662,13703573.1246,1650212462,375253044,0.2274,1401216798,0.8491,1.0000,54.1192,-march=rv64gcv -mabi=lp64d,16.1.0,ok
email-Enron,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,1.001087379,1.001363305,0.002357459,0.998019372,1.005662382,0.003166523,0.0076,0.1029,0.1029,0.0002,0.1024,0.1032,0.9935,0.9901,0.9956,yes,0.9935,1.0000,1.0000,30492154,1403.6152,92662,13703573.1246,1601328832,330369932,0.2063,1382073917,0.8631,1.0000,52.5161,-march=rv64gcv -mabi=lp64d,16.1.0,ok
email-Enron,gcv,intrinsic,rvv_f32_m4,-,f32,1,4,10,0.988969901,0.992841137,0.013132770,0.985021384,1.031719062,0.003755320,0.0472,0.1041,0.1038,0.0013,0.0998,0.1046,1.0057,1.0018,1.0078,yes,1.0057,1.0000,1.0000,30492154,1403.6152,92662,13703573.1246,1581850606,308160166,0.1948,1379065053,0.8718,1.0000,51.8773,-march=rv64gcv -mabi=lp64d,16.1.0,ok
email-Enron,gcv,autovec,scalar_f32,-,f32,1,,10,0.994564512,0.994010411,0.001751533,0.991689035,0.996048153,0.003610287,0.0044,0.1036,0.1036,0.0002,0.1034,0.1039,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000,30492154,1403.6152,92662,13703573.1246,1590930792,850965370,0.5349,1003285312,0.6306,1.0000,52.1751,-march=rv64gcv -mabi=lp64d,16.1.0,ok
email-Enron,gcv,baseline,scalar_f32,-fno-tree-vectorize -fno-tree-slp-vectorize,f32,1,,10,0.993618587,0.998384338,0.016316852,0.990843835,1.047143073,0.003266476,0.0567,0.1037,0.1032,0.0016,0.0984,0.1040,1.0010,0.9979,1.0038,no,1.0010,1.0000,1.0000,30492154,1403.6152,92662,13703573.1246,1589353378,850494444,0.5351,1002875873,0.6310,1.0000,52.1234,-march=rv64gcv -mabi=lp64d,16.1.0,ok
